DATE	Consumption	Inflation	Population
1947/1/1	36748	0.018605	143143
1947/4/1	39831	0.004566	143790
1947/7/1	39991	0.045455	144449
1947/10/1	45282	0.017391	145122
1948/1/1	40579	0.000001	145709
1948/4/1	43037	0.029915	146289
1948/7/1	43339	0.016597	146921
1948/10/1	47924	-0.016327	147607
1949/1/1	41535	-0.012447	148254
1949/4/1	44392	0.004202	148847
1949/7/1	43978	0	149485
1949/10/1	48429	-0.012552	150167
1950/1/1	43203	0	150786
1950/4/1	46313	0.008474	151319
1950/7/1	49442	0.02521	151973
1950/10/1	53086	0.024591	152658
1951/1/1	49870	0.032	153291
1951/4/1	50800	0.003876	153902
1951/7/1	50875	0.007722	154610
1951/10/1	56794	0.015326	155344
1952/1/1	50586	-0.007547	155976
1952/4/1	53784	0.007604	156587
1952/7/1	53838	0.007547	157267
1952/10/1	61113	0	157986
1953/1/1	54758	-0.003744	158574
1953/4/1	58078	0.007518	159160
1953/7/1	57283	0.003731	159889
1953/10/1	62621	-0.000001	160639
1954/1/1	55883	0	161328
1954/4/1	59428	0	161983
1954/7/1	58876	-0.003717	162731
1954/10/1	65422	-0.003731	163524
1955/1/1	59547	0	164204
1955/4/1	64073	0	164864
1955/7/1	64062	0.00749	165612
1955/10/1	70606	-0.003717	166419
1956/1/1	63885	0	167109
1956/4/1	66725	0.014924	167788
1956/7/1	66748	0.007353	168573
1956/10/1	73769	0.007299	169416
1957/1/1	66916	0.007246	170172
1957/4/1	70773	0.010791	170869
1957/7/1	71408	0.007117	171638
1957/10/1	77200	0.003534	172417
1958/1/1	69349	0.014084	173064
1958/4/1	72851	0.003472	173729
1958/7/1	72955	0	174483
1958/10/1	80451	0	175288
1959/1/1	74391	0	176045
1959/4/1	79197	0.00692	176727
1959/7/1	78707	0.006873	177481
1959/10/1	84835	0.003413	178268
1960/1/1	78095	0	179319
1960/4/1	83503	0.006803	180401
1960/7/1	81622	0	181301
1960/10/1	87961	0.006757	182019
1961/1/1	80392	0	182634
1961/4/1	84868	0	183337
1961/7/1	84325	0.006711	184103
1961/10/1	91890	0	184894
1962/1/1	85183	0.003333	185553
1962/4/1	90580	0.003322	186203
1962/7/1	89347	0.006622	186926
1962/10/1	97447	0	187680
1963/1/1	89572	0.003289	188299
1963/4/1	95005	0.003279	188906
1963/7/1	94842	0.003268	189631
1963/10/1	102615	0.006515	190362
1964/1/1	96250	0	190954
1964/4/1	101702	0.003236	191560
1964/7/1	102389	0.003227	192256
1964/10/1	110290	0.003215	192938
1965/1/1	102356	0.003205	193467
1965/4/1	109569	0.009584	193994
1965/7/1	109857	0	194647
1965/10/1	121190	0.00633	195279
1966/1/1	111962	0.009434	195763
1966/4/1	118685	0.009346	196277
1966/7/1	119893	0.009259	196877
1966/10/1	129379	0.006116	197481
1967/1/1	118506	0.00304	197967
1967/4/1	125926	0.00909	198455
1967/7/1	126742	0.009009	199012
1967/10/1	135511	0.008928	199572
1968/1/1	128484	0.0118	199995
1968/4/1	137109	0.011661	200452
1968/7/1	140326	0.011527	200997
1968/10/1	150934	0.011396	201538
1969/1/1	140005	0.016902	201955
1969/4/1	149494	0.013851	202419
1969/7/1	151494	0.013661	202986
1969/10/1	162646	0.016172	203584
1970/1/1	151152	0.013263	204086
1970/4/1	160165	0.015706	204721
1970/7/1	162510	0.010309	205419
1970/10/1	172897	0.015306	206130
1971/1/1	162083	0.005025	206763
1971/4/1	173455	0.015	207362
1971/7/1	175785	0.004926	208000
1971/10/1	188614	0.007353	208642
1972/1/1	177530	0.007299	209142
1972/4/1	189526	0.007246	209637
1972/7/1	193099	0.009593	210181
1972/10/1	207998	0.009501	210737
1973/1/1	197701	0.018823	211192
1973/4/1	210575	0.020785	211663
1973/7/1	213272	0.022624	212191
1973/10/1	228025	0.022124	212708
1974/1/1	212793	0.034633	213144
1974/4/1	231087	0.025104	213602
1974/7/1	237028	0.032653	214147
1974/10/1	249253	0.025692	214700
1975/1/1	236152	0.015416	215135
1975/4/1	253594	0.017078	215652
1975/7/1	261235	0.018657	216289
1975/10/1	279565	0.016484	216848
1976/1/1	267013	0.007207	217314
1976/4/1	282678	0.016101	217776
1976/7/1	287919	0.014085	218338
1976/10/1	310055	0.010416	218917
1977/1/1	295766	0.022337	219427
1977/4/1	313050	0.020167	219956
1977/7/1	320500	0.011532	220573
1977/10/1	344659	0.0114	221201
1978/1/1	326788	0.020934	221719
1978/4/1	350897	0.028391	222281
1978/7/1	359256	0.019939	222933
1978/10/1	385310	0.018046	223583
1979/1/1	368960	0.031019	224152
1979/4/1	387672	0.035817	224737
1979/7/1	398359	0.031812	225418
1979/10/1	430429	0.028151	226117
1980/1/1	414502	0.044329	226754
1980/4/1	423893	0.032459	227389
1980/7/1	437419	0.015719	228070
1980/10/1	474853	0.027382	228689
1981/1/1	454535	0.025492	229155
1981/4/1	476304	0.023729	229674
1981/7/1	486239	0.028698	230301
1981/10/1	516873	0.008584	230903
1982/1/1	489867	0.005318	231395
1982/4/1	506959	0.026455	231906
1982/7/1	516766	0.009278	232498
1982/10/1	557665	-0.003065	233074
1983/1/1	528453	0.003073	233546
1983/4/1	560648	0.016343	234028
1983/7/1	574301	0.01206	234603
1983/10/1	618203	0.005958	235153
1984/1/1	590266	0.012833	235605
1984/4/1	617272	0.010721	236082
1984/7/1	620377	0.012536	236657
1984/10/1	664426	0.002857	237232
1985/1/1	636625	0.010446	237673
1985/4/1	669364	0.011278	238176
1985/7/1	682388	0.006506	238789
1985/10/1	724454	0.009233	239387
1986/1/1	684983	-0.004575	239861
1986/4/1	710946	0.006434	240368
1986/7/1	724631	0.006392	240962
1986/10/1	765718	0.002722	241539
1987/1/1	718294	0.014479	242009
1987/4/1	762670	0.012489	242520
1987/7/1	775418	0.013216	243120
1987/10/1	819897	0.003478	243721
1988/1/1	781886	0.009532	244208
1988/4/1	819335	0.012875	244716
1988/7/1	836203	0.015254	245354
1988/10/1	892590	0.005844	245966
1989/1/1	843319	0.014938	246460
1989/4/1	884696	0.014717	247017
1989/7/1	898475	0.007252	247698
1989/10/1	950268	0.008801	248374
1990/1/1	903424	0.020619	248936
1990/4/1	942675	0.009324	249711
1990/7/1	958197	0.021555	250595
1990/10/1	1004699	0.00829	251482
1991/1/1	937857	0.008969	252258
1991/4/1	977762	0.007407	253063
1991/7/1	990992	0.008824	253965
1991/10/1	1036838	0.005102	254835
1992/1/1	993774	0.010153	255585
1992/4/1	1035336	0.006461	256439
