"","Date","IBM - RF","Mkt - RF","SMB","HML","RMW","CMA"
"1","2000/01","-3.64","-4.74","4.15","-0.29","-6.05","4.73"
"2","2000/02","-8.89","2.45","18.32","-9.93","-18.33","-0.51"
"3","2000/03","14.74","5.2","-14.91","7.38","11.68","-1.05"
"4","2000/04","-6.27","-6.4","-5.55","8.61","7.55","5.27"
"5","2000/05","-4.26","-4.42","-3.68","2.56","4.63","0.74"
"6","2000/06","1.7","4.64","10.39","-9.86","-6.83","-3.07"
"7","2000/07","1.97","-2.51","-0.95","8.06","6","2.99"
"8","2000/08","17.11","7.03","-1.1","-0.66","-3.07","0.61"
"9","2000/09","-15.2","-5.45","0.23","6.13","3.08","6.43"
"10","2000/10","-13.1","-2.76","-2.83","5.64","9.66","4.68"
"11","2000/11","-5.59","-10.72","-0.46","11.26","13.33","8.51"
"12","2000/12","-9.59","1.19","3.17","7.37","1.85","5.67"
"13","2001/01","31.22","3.13","5.8","-4.86","-4.44","-6.55"
"14","2001/02","-11.18","-10.05","2.66","12.87","9","9.56"
"15","2001/03","-4.14","-7.26","2.32","6.46","3.4","3.93"
"16","2001/04","19.32","7.94","-0.63","-4.72","-2.72","-3.95"
"17","2001/05","-3.22","0.72","3.58","3.18","0.18","2.18"
"18","2001/06","1.24","-1.94","6.61","-1.03","2.03","-1.8"
"19","2001/07","-7.6","-2.13","-2.91","5.57","7.16","3.01"
"20","2001/08","-5.31","-6.46","2.73","2.51","3.95","6.5"
"21","2001/09","-8.51","-9.25","-5.69","1.6","4.96","3.27"
"22","2001/10","17.61","2.46","5.42","-8.1","-2.66","-4.64"
"23","2001/11","6.79","7.54","-0.3","2.01","-3.76","-1.66"
"24","2001/12","4.5","1.61","5.14","1.1","0.3","-0.29"
"25","2002/01","-10.95","-1.44","1.19","3.33","4.35","2.84"
"26","2002/02","-9.19","-2.29","-0.46","2.5","7.62","5.12"
"27","2002/03","5.86","4.24","4.28","1.1","-1.36","0.61"
"28","2002/04","-19.61","-5.2","6.66","3.92","4.57","5.41"
"29","2002/05","-4.09","-1.38","-3.07","1.68","2.27","2.42"
"30","2002/06","-10.63","-7.21","3.78","0.12","3.62","2.51"
"31","2002/07","-2.37","-8.18","-6.24","-3.44","4.19","-0.72"
"32","2002/08","6.93","0.5","-1.27","2.52","1.15","-1.61"
