YEAR,ND,SERV,PCEDEF,CON_GROWTH,INF,Rf,DIV,DIV_GROWTH,YEARMONTH,ANNUAL_PRICE,ANNUAL_RETURN,ANNUAL_EXC_RETURN,
1929 ,10.057,6.789,9.314,,,0.0464,0.0383, ,192912,0.8787,,,
1930 ,9.535,6.594,8.920,-0.0435,-0.0432,0.0232,0.0374,-0.0220,193012,0.6187,-0.3508,-0.3740,
1931 ,8.152,6.130,7.965,-0.1216,-0.1132,0.0102,0.0321,-0.1536,193112,0.3160,-0.6718,-0.6820,
1932 ,6.989,5.538,7.024,-0.1311,-0.1257,0.0080,0.0172,-0.6259,193212,0.2691,-0.1606,-0.1686,
1933 ,6.953,5.190,6.774,-0.0311,-0.0362,0.0029,0.0133,-0.2543,193312,0.3962,0.3868,0.3839,
1934 ,7.691,5.124,7.081,0.0539,0.0443,0.0015,0.0148,0.1088,193412,0.3717,-0.0639,-0.0654,
1935 ,7.948,5.236,7.256,0.0284,0.0244,0.0017,0.0164,0.1010,193512,0.5203,0.3363,0.3346,
1936 ,7.976,5.321,7.323,0.0085,0.0092,0.0017,0.0259,0.4549,193612,0.6657,0.2464,0.2447,
1937 ,8.253,5.519,7.590,0.0351,0.0358,0.0032,0.0291,0.1172,193712,0.4033,-0.5012,-0.5044,
1938 ,7.847,5.524,7.417,-0.0295,-0.0231,0.0004,0.0169,-0.5458,193812,0.5011,0.2172,0.2167,
1939 ,7.723,5.509,7.345,-0.0105,-0.0098,0.0001,0.0213,0.2343,193912,0.4727,-0.0584,-0.0584,
1940 ,7.790,5.553,7.407,0.0084,0.0084,-0.0006,0.0249,0.1543,194012,0.4010,-0.1645,-0.1639,
1941 ,8.447,5.749,7.868,0.0620,0.0604,0.0004,0.0268,0.0763,194112,0.3301,-0.1945,-0.1949,
1942 ,9.833,6.155,8.847,0.1189,0.1173,0.0026,0.0227,-0.1658,194212,0.3730,0.1222,0.1196,
1943 ,11.003,6.539,9.661,0.0928,0.0880,0.0034,0.0228,0.0040,194312,0.4488,0.1851,0.1817,
1944 ,11.644,6.840,10.216,0.0523,0.0559,0.0032,0.0249,0.0855,194412,0.5168,0.1409,0.1377,
1945 ,12.155,7.063,10.625,0.0389,0.0393,0.0032,0.0257,0.0348,194512,0.6768,0.2698,0.2666,
1946 ,13.169,7.491,11.364,0.0724,0.0672,0.0035,0.0260,0.0088,194612,0.5899,-0.1375,-0.1410,
1947 ,14.869,8.037,12.517,0.1032,0.0966,0.0046,0.0315,0.1938,194712,0.5861,-0.0065,-0.0111,
1948 ,15.780,8.462,13.225,0.0567,0.0550,0.0097,0.0353,0.1129,194812,0.5811,-0.0084,-0.0182,
1949 ,15.266,8.605,13.122,-0.0154,-0.0078,0.0110,0.0425,0.1860,194912,0.6379,0.0932,0.0822,
1950 ,15.304,8.825,13.278,0.0108,0.0118,0.0121,0.0556,0.2681,195012,0.7848,0.2073,0.1952,
1951 ,16.615,9.260,14.182,0.0699,0.0659,0.0147,0.0534,-0.0396,195112,0.9106,0.1486,0.1339,
1952 ,16.794,9.598,14.473,0.0198,0.0203,0.0163,0.0547,0.0229,195212,1.0224,0.1158,0.0995,
1953 ,16.735,9.968,14.663,0.0117,0.0130,0.0177,0.0557,0.0183,195312,0.9477,-0.0758,-0.0935,
1954 ,16.775,10.218,14.787,0.0108,0.0084,0.0086,0.0593,0.0636,195412,1.3741,0.3715,0.3629,
1955 ,16.666,10.391,14.845,0.0024,0.0039,0.0154,0.0678,0.1330,195512,1.7285,0.2294,0.2140,
1956 ,16.905,10.638,15.140,0.0178,0.0197,0.0240,0.0712,0.0491,195612,1.7662,0.0216,-0.0024,
1957 ,17.400,10.949,15.600,0.0288,0.0299,0.0308,0.0743,0.0431,195712,1.5066,-0.1590,-0.1899,
1958 ,17.824,11.220,15.969,0.0242,0.0234,0.0141,0.0681,-0.0870,195812,2.0832,0.3241,0.3100,
1959 ,17.850,11.521,16.207,0.0112,0.0148,0.0278,0.0714,0.0468,195912,2.2666,0.0844,0.0566,
1960 ,18.063,11.826,16.473,0.0175,0.0163,0.0255,0.0737,0.0320,196012,2.2021,-0.0289,-0.0544,
1961 ,18.139,12.037,16.644,0.0096,0.0103,0.0214,0.0766,0.0381,196112,2.7164,0.2099,0.1885,
1962 ,18.238,12.265,16.839,0.0108,0.0116,0.0269,0.0810,0.0563,196212,2.3948,-0.1260,-0.1529,
1963 ,18.419,12.461,17.040,0.0123,0.0119,0.0311,0.0866,0.0666,196312,2.8445,0.1721,0.1410,
1964 ,18.665,12.689,17.287,0.0152,0.0144,0.0346,0.0943,0.0856,196412,3.2196,0.1239,0.0892,
1965 ,19.002,12.926,17.536,0.0181,0.0143,0.0389,0.1033,0.0914,196512,3.5165,0.0882,0.0493,
1966 ,19.610,13.298,17.979,0.0302,0.0249,0.0461,0.1084,0.0476,196612,3.0520,-0.1417,-0.1877,
1967 ,19.968,13.739,18.431,0.0240,0.0248,0.0407,0.1101,0.0158,196712,3.6656,0.1832,0.1425,
1968 ,20.688,14.338,19.152,0.0384,0.0384,0.0517,0.1165,0.0568,196812,3.9381,0.0717,0.0200,
1969 ,21.583,15.078,20.015,0.0456,0.0441,0.0640,0.1228,0.0521,196912,3.4929,-0.1200,-0.1840,
1970 ,22.553,15.913,20.951,0.0481,0.0457,0.0620,0.1183,-0.0374,197012,3.4986,0.0016,-0.0604,
1971 ,23.190,16.781,21.841,0.0384,0.0416,0.0423,0.1169,-0.0119,197112,3.8804,0.1036,0.0612,
1972 ,23.933,17.491,22.586,0.0357,0.0335,0.0382,0.1201,0.0272,197212,4.4920,0.1464,0.1081,
1973 ,25.863,18.336,23.802,0.0648,0.0524,0.0684,0.1280,0.0636,197312,3.7065,-0.1922,-0.2606,
1974 ,29.775,19.890,26.280,0.1166,0.0990,0.0779,0.1364,0.0637,197412,2.6071,-0.3519,-0.4298,
