YQ,PCEDEF,ND,S,INF,Con_Growth,Div_index,DG_Index,DG_SMALL LoBM,DG_ME1 BM2,DG_ME1 BM3,DG_ME1 BM4,DG_SMALL HiBM,DG_ME2 BM1,DG_ME2 BM2,DG_ME2 BM3,DG_ME2 BM4,DG_ME2 BM5,DG_ME3 BM1,DG_ME3 BM2,DG_ME3 BM3,DG_ME3 BM4,DG_ME3 BM5,DG_ME4 BM1,DG_ME4 BM2,DG_ME4 BM3,DG_ME4 BM4,DG_ME4 BM5,DG_BIG LoBM,DG_ME5 BM2,DG_ME5 BM3,DG_ME5 BM4,DG_BIG HiBM,r_SMALL LoBM,r_ME1 BM2,r_ME1 BM3,r_ME1 BM4,r_SMALL HiBM,r_ME2 BM1,r_ME2 BM2,r_ME2 BM3,r_ME2 BM4,r_ME2 BM5,r_ME3 BM1,r_ME3 BM2,r_ME3 BM3,r_ME3 BM4,r_ME3 BM5,r_ME4 BM1,r_ME4 BM2,r_ME4 BM3,r_ME4 BM4,r_ME4 BM5,r_BIG LoBM,r_ME5 BM2,r_ME5 BM3,r_ME5 BM4,r_BIG HiBM,rf,PD_SMALL LoBM,PD_ME1 BM2,PD_ME1 BM3,PD_ME1 BM4,PD_SMALL HiBM,PD_ME2 BM1,PD_ME2 BM2,PD_ME2 BM3,PD_ME2 BM4,PD_ME2 BM5,PD_ME3 BM1,PD_ME3 BM2,PD_ME3 BM3,PD_ME3 BM4,PD_ME3 BM5,PD_ME4 BM1,PD_ME4 BM2,PD_ME4 BM3,PD_ME4 BM4,PD_ME4 BM5,PD_BIG LoBM,PD_ME5 BM2,PD_ME5 BM3,PD_ME5 BM4,PD_BIG HiBM,Rex_SMALL LoBM,Rex_ME1 BM2,Rex_ME1 BM3,Rex_ME1 BM4,Rex_SMALL HiBM,Rex_ME2 BM1,Rex_ME2 BM2,Rex_ME2 BM3,Rex_ME2 BM4,Rex_ME2 BM5,Rex_ME3 BM1,Rex_ME3 BM2,Rex_ME3 BM3,Rex_ME3 BM4,Rex_ME3 BM5,Rex_ME4 BM1,Rex_ME4 BM2,Rex_ME4 BM3,Rex_ME4 BM4,Rex_ME4 BM5,Rex_BIG LoBM,Rex_ME5 BM2,Rex_ME5 BM3,Rex_ME5 BM4,Rex_BIG HiBM
1947Q1,11.583,3603,5380,,,0.00658,,0.145202571,0.032791731,0.075499205,0.091041579,0.159003794,-0.018906931,0.005504114,0.051636641,-0.012716077,0.164527658,0.025079145,0.06967277,0.02149981,0.081504544,0.000828362,0.025809605,0.111463916,0.055039018,0.070900097,-0.013557646,0.047483157,0.066142184,0.070324045,-0.035136044,-0.031760944,0.003733774,-0.017869226,-0.042850423,-0.000505262,0.025991689,-0.014837299,-0.026282298,-0.004891076,-0.028612952,0.00998766,-0.037571943,-0.028930505,-0.028968113,-0.030589713,0.015311757,-0.046315061,-0.031939359,-0.044378436,-0.00073715,-0.012569019,0.002865493,-0.041284672,-0.035490725,-0.024369627,-0.046417955,,4.890542008,4.780555791,4.388497855,4.354967409,4.832249751,4.441856802,4.512120843,4.382027788,4.405577829,4.740841517,4.53649098,4.352614421,4.51254658,4.38565437,4.203707189,4.6016088,4.502741358,4.431382816,4.482873931,4.524847456,4.636995618,4.461013277,4.371954696,4.488223192,4.359002928,,,,,,,,,,,,,,,,,,,,,,,,,
1947Q2,11.776,3648,5434,0.01653,0.01097,0.0069,0.04629,0.07760812,0.100269864,0.014452279,0.076566753,0.113947255,0.06694183,0.017605324,0.074363039,0.048829107,0.092231478,-0.012927455,0.073956641,0.031381362,0.11729191,0.154910265,0.030913237,0.059810506,0.025875956,0.002921904,0.112775622,0.037701424,0.027365474,-0.020488684,0.109457592,0.054250228,-0.127019695,-0.155816346,-0.118232733,-0.137820634,-0.107748774,-0.136955701,-0.080749513,-0.082383908,-0.089188312,-0.079394107,-0.122702442,-0.081925914,-0.080043758,-0.051273128,-0.072059312,-0.044266185,-0.05489424,-0.052190931,-0.101300468,-0.064292777,-0.008168093,0.003697719,-0.041860705,0.032555421,-0.032365239,-0.01565,4.74907321,4.729894834,4.270148227,4.263420568,4.699237646,4.445926435,4.480334431,4.325500072,4.389680954,4.586301519,4.473839892,4.254011146,4.462078658,4.273560112,4.218190583,4.529484134,4.359338083,4.331965363,4.411236683,4.525836082,4.592377954,4.353586422,4.266139925,4.498989608,4.344345917,-0.111369695,-0.140166346,-0.102582733,-0.122170634,-0.092098774,-0.121305701,-0.065099513,-0.066733908,-0.073538312,-0.063744107,-0.107052442,-0.066275914,-0.064393758,-0.035623128,-0.056409312,-0.028616185,-0.03924424,-0.036540931,-0.085650468,-0.048642777,0.007481907,0.019347719,-0.026210705,0.048205421,-0.016715239
1947Q3,11.814,3648,5397,0.00322,-0.00408,0.00715,0.03677,-0.14714146,0.158530647,-0.020497595,0.041215874,0.025582262,0.03081678,0.09592037,-0.030472924,0.040178391,0.161723966,0.11373681,0.032256645,0.121663772,0.067916273,0.023995232,0.105548549,0.046441615,0.094809457,0.107246168,0.02399741,0.056789422,0.052933553,-0.047928832,0.062891949,-0.000529287,0.079451731,0.034694605,0.024229194,0.020225042,0.083970279,2.52074E-05,0.055996678,0.033762385,0.04860952,0.081267701,0.058702464,-0.005287013,0.054406566,0.049609398,0.066229627,0.002085075,0.003387835,0.055400013,0.033448034,0.073642675,-0.001240948,-0.003771444,-0.01323392,0.010040594,0.020972168,-0.00236,4.544445395,4.473808624,4.137463215,4.049033182,4.477541617,4.242028905,4.381979594,4.168753125,4.251663535,4.414675934,4.364064905,4.098128591,4.350653537,4.104995074,3.991221007,4.454304713,4.244633338,4.253898476,4.307014311,4.348767683,4.546508437,4.329918667,4.244767904,4.422087437,4.25773045,0.095101731,0.050344605,0.039879194,0.035875042,0.099620279,0.015675207,0.071646678,0.049412385,0.06425952,0.096917701,0.074352464,0.010362987,0.070056566,0.065259398,0.081879627,0.017735075,0.019037835,0.071050013,0.049098034,0.089292675,0.014409052,0.011878556,0.00241608,0.025690594,0.036622168
1947Q4,11.818,3584,5344,0.00034,-0.01302,0.00788,0.09676,-0.064341027,0.139956539,0.009179381,-0.074316357,0.161198241,-0.038472341,0.212745933,0.154337744,0.053948959,0.065076472,0.000907931,-0.01491272,0.11566331,0.10907606,-0.031758838,0.012440511,0.045117051,0.068501321,0.041812898,0.081466398,0.039434188,0.119434409,0.023595929,0.136910926,0.097821842,-0.072268982,0.008643606,-0.004075886,0.000730318,0.022677899,-0.051411246,-0.013226136,-0.011089972,-0.023057615,0.048059942,0.023865092,0.013681553,-0.013507624,0.010050528,-0.007312697,0.031164465,0.009829265,0.011818289,-0.016689275,-0.031559157,0.001973011,0.039082788,0.027038558,0.026583523,0.072612853,0.0017,4.771038586,4.349972581,4.182190004,4.02804235,4.535929634,4.211237332,4.342055902,4.232988435,4.260094665,4.334219669,4.309030559,4.060584933,4.283396331,4.0866882,4.033455401,4.350841239,4.201579558,4.214489032,4.233216178,4.398412949,4.488478066,4.27321367,4.279462816,4.369236082,4.279231905,-0.056618982,0.024293606,0.011574114,0.016380318,0.038327899,-0.035761246,0.002423864,0.004560028,-0.007407615,0.063709942,0.039515092,0.029331553,0.002142376,0.025700528,0.008337303,0.046814465,0.025479265,0.027468289,-0.001039275,-0.015909157,0.017623011,0.054732788,0.042688558,0.042233523,0.088262853
1948Q1,11.877,3581,5380,0.00498,0.00369,0.00811,0.02913,-0.131890418,0.047078474,-0.002910869,-0.016948367,0.020525926,0.014933819,0.03229462,-0.021217892,0.047872091,0.024782117,0.087352082,-0.01156175,0.04763601,-0.014088728,0.029822923,0.0672433,0.051142627,0.01429396,0.050679166,0.090926831,0.016643152,0.018117604,-0.016825305,0.076906423,0.054926322,0.061605586,-0.018571702,-0.024247841,-0.001822545,0.038129241,-0.068677779,-0.03043015,-0.033997321,0.013821483,0.03350825,-0.040610548,-0.066143674,0.004529313,-0.016013916,0.043738294,-0.014319837,-0.033330769,0.002703493,0.027568187,0.045986753,-0.038863693,-0.008020284,-0.024102091,-0.00693407,0.001409073,-0.00264,4.763110632,4.218659648,4.168934737,4.103089025,4.397409292,4.198298427,4.116083832,4.067560718,4.18308809,4.317203139,4.331987719,4.089179206,4.154225396,3.987662667,4.057901541,4.369565192,4.166291773,4.157806,4.174714004,4.285387394,4.451016889,4.192862049,4.282905444,4.258908678,4.254022916,0.077255586,-0.002921702,-0.008597841,0.013827455,0.053779241,-0.053027779,-0.01478015,-0.018347321,0.029471483,0.04915825,-0.024960548,-0.050493674,0.020179313,-0.000363916,0.059388294,0.001330163,-0.017680769,0.018353493,0.043218187,0.061636753,-0.023213693,0.007629716,-0.008452091,0.00871593,0.017059073
1948Q2,12.015,3602,5442,0.01155,0.00922,0.00812,0.00042,-0.028802616,0.067775929,-0.019638189,-0.013059394,-0.070133431,-0.016549694,0.043917583,-0.021123896,0.029133998,0.045644556,0.078298261,-0.019823035,0.068133445,0.002868007,-0.017817385,0.058196905,0.051639783,0.019490766,0.062630073,0.059690195,0.019189967,0.045185726,0.025705728,-0.009151301,0.052191914,0.066727084,0.159020554,0.108147903,0.091441536,0.127839215,0.067375438,0.070532394,0.0712595,0.099967203,0.155163166,0.075787189,0.077645962,0.063381792,0.090708476,0.090029656,0.079474325,0.094973063,0.115961202,0.032784048,0.133709654,0.087569357,0.097258108,0.097473657,0.084609372,0.163536237,-0.00905,4.956606636,4.153009472,4.147597765,4.118214847,4.415012607,4.114686829,4.053359062,4.054781289,4.149037482,4.325929271,4.20402509,4.034597282,4.111118699,3.98573748,4.071816912,4.288002056,4.081818377,4.146215533,4.151603025,4.240447316,4.395510044,4.166724161,4.275628658,4.175068185,4.200505667,0.082377084,0.174670554,0.123797903,0.107091536,0.143489215,0.083025438,0.086182394,0.0869095,0.115617203,0.170813166,0.091437189,0.093295962,0.079031792,0.106358476,0.105679656,0.095124325,0.110623063,0.131611202,0.048434048,0.149359654,0.103219357,0.112908108,0.113123657,0.100259372,0.179186237
1948Q3,12.033,3565,5448,0.0015,-0.00343,0.00838,0.03125,0.281070954,-0.101802209,0.00844985,-0.027223613,0.190944016,0.044314719,0.025916022,0.082450692,0.034262806,0.056668705,0.04266609,0.043434894,-0.001079856,-0.014037733,-0.065019422,0.005275893,0.019520258,0.013477312,0.046067334,0.113773901,0.031094075,-0.08029116,0.073745975,0.116142085,0.039988292,-0.158810444,-0.148112164,-0.133605456,-0.15323524,-0.130767192,-0.099138586,-0.094364103,-0.103094146,-0.11038853,-0.111896569,-0.1070233,-0.104301342,-0.10635328,-0.117209312,-0.124898589,-0.11938568,-0.094255563,-0.096383011,-0.119572009,-0.106293666,-0.079340673,-0.11365499,-0.062637897,-0.113923826,-0.083814504,0.0011,5.052136336,4.244254097,4.275383857,4.222715778,4.612985253,4.198611961,4.079973873,4.147164685,4.219870687,4.435447882,4.201514018,4.132066279,4.106367046,4.073577949,4.179663954,4.309279475,4.125151657,4.242685969,4.121757,4.314466775,4.463889434,4.218796543,4.347396588,4.268828858,4.31184999,-0.143160444,-0.132462164,-0.117955456,-0.13758524,-0.115117192,-0.083488586,-0.078714103,-0.087444146,-0.09473853,-0.096246569,-0.0913733,-0.088651342,-0.09070328,-0.101559312,-0.109248589,-0.10373568,-0.078605563,-0.080733011,-0.103922009,-0.090643666,-0.063690673,-0.09800499,-0.046987897,-0.098273826,-0.068164504
1948Q4,12.129,3595,5477,0.00795,0.00653,0.00882,0.05206,0.075605771,-0.018108942,-0.07482806,0.001010758,0.064483396,0.130725091,0.024977098,-0.039402331,0.084624929,0.105124706,0.060551094,0.054112633,0.059332792,-0.044948902,-0.064454198,-0.016656819,0.031264319,0.065784298,0.019495468,0.143291756,0.125443342,0.023536977,0.004240952,-0.045956849,0.064022226,-0.082043577,-0.141256291,-0.125505364,-0.134057865,-0.093085934,-0.095719672,-0.078841489,-0.066103345,-0.103032078,-0.08666603,-0.059540655,-0.039906458,-0.0513573,-0.096002188,-0.113209671,-0.018804606,-0.033059038,-0.05548133,-0.063148059,-0.119309317,0.004738541,-0.009410833,-0.020005891,-0.068388465,-0.089059731,-0.00563,4.612254938,4.197944141,4.133328551,4.09670415,4.291274045,4.055158656,3.959693748,3.961619847,4.075219351,4.266882608,4.051824628,3.984330043,4.001093622,3.970406369,4.119784787,4.184617903,4.011375835,4.132825646,3.956117656,4.094399208,4.353454686,4.185432713,4.211012716,4.038762948,4.188047194,-0.066393577,-0.125606291,-0.109855364,-0.118407865,-0.077435934,-0.080069672,-0.063191489,-0.050453345,-0.087382078,-0.07101603,-0.043890655,-0.024256458,-0.0357073,-0.080352188,-0.097559671,-0.003154606,-0.017409038,-0.03983133,-0.047498059,-0.103659317,0.020388541,0.006239167,-0.004355891,-0.052738465,-0.073409731
1949Q1,12.149,3593,5488,0.00165,0.00099,0.00926,0.0486,0.060266928,-0.068603306,-0.043604198,-0.007149116,-0.002544392,0.03527925,0.035502683,0.056101972,0.053323056,0.059512287,0.038790555,0.017299927,0.028212983,0.036034623,0.094494119,0.00985493,0.00554418,0.065933096,0.010527621,0.022432925,0.054297992,-0.079773473,0.060067739,0.060787833,0.071397984,-0.016167786,0.074355247,0.069351001,0.011725184,0.060687313,-0.028752959,0.027942063,-0.012644573,0.010375457,0.011884914,0.022226644,-0.022161018,0.019511331,0.032156562,-0.01137098,0.028483383,0.014168006,0.027833018,-0.007454302,0.050603855,0.008805467,-0.03226541,-0.024742846,0.029931205,-0.022433906,0.00114,4.45460559,4.074796792,4.082651247,3.961635527,4.133704714,3.828713893,3.855875161,3.934918832,3.887562344,4.075091873,3.931732879,3.890310952,3.890403531,3.919353084,4.071029315,4.182470115,3.947052479,4.011560019,3.873474129,3.831798136,4.232749885,4.152484903,4.186765872,4.016331332,4.034965236,-0.000517786,0.090005247,0.085001001,0.027375184,0.076337313,-0.013102959,0.043592063,0.003005427,0.026025457,0.027534914,0.037876644,-0.006511018,0.035161331,0.047806562,0.00427902,0.044133383,0.029818006,0.043483018,0.008195698,0.066253855,0.024455467,-0.01661541,-0.009092846,0.045581205,-0.006783906
1949Q2,12.335,3588,5493,0.01519,0,0.00962,0.03774,0.136376862,-0.07655335,-0.011402701,-0.032647364,0.000710394,-0.010152726,0.027134026,0.010196676,-0.007254995,0.019009895,0.009294279,0.020986582,0.023501077,-0.002124857,-0.037734384,-0.01370912,0.005373843,0.049266728,-0.047942031,-0.012569715,0.049239993,0.006495041,0.021800662,0.032181911,0.012349252,-0.181736581,-0.148975626,-0.120933877,-0.118967761,-0.10438287,-0.120705673,-0.112780235,-0.08658113,-0.096477871,-0.138921874,-0.058787445,-0.097052123,-0.09492104,-0.117826419,-0.16777354,-0.049093744,-0.070177897,-0.053822452,-0.105686767,-0.121946032,-0.042887655,-0.050516228,-0.040942843,-0.081364688,-0.131837436,-0.01229,4.378170876,4.217755346,4.195606445,3.980509827,4.19693642,3.764681685,3.848314541,3.866172288,3.844614746,4.027464499,3.915168968,3.850850007,3.88170188,3.915475022,3.965164215,4.201098569,3.955676305,3.97345994,3.855492206,3.859969066,4.18725736,4.199992967,4.101955287,3.985474704,3.941133347,-0.166086581,-0.133325626,-0.105283877,-0.103317761,-0.08873287,-0.105055673,-0.097130235,-0.07093113,-0.080827871,-0.123271874,-0.043137445,-0.081402123,-0.07927104,-0.102176419,-0.15212354,-0.033443744,-0.054527897,-0.038172452,-0.090036767,-0.106296032,-0.027237655,-0.034866228,-0.025292843,-0.065714688,-0.116187436
